[1-0]R=838; MaxAge=200; Cached=0, Rsp=0.220922;(0.012325)(0.200133)(0.008223)(0.000241)
[1-0]R=839; MaxAge=200; Cached=0, Rsp=0.220886;(0.012237)(0.200139)(0.008220)(0.000290)
[1-0]R=857; MaxAge=200; Cached=0, Rsp=0.221000;(0.012259)(0.200114)(0.008236)(0.000391)
[1-0]R=859; MaxAge=200; Cached=0, Rsp=0.221145;(0.012487)(0.200128)(0.008240)(0.000290)
[1-0]R=861; MaxAge=200; Cached=0, Rsp=0.221017;(0.012330)(0.200131)(0.008245)(0.000311)
[1-0]R=863; MaxAge=200; Cached=0, Rsp=0.221026;(0.012269)(0.200127)(0.008239)(0.000391)
[1-0]R=865; MaxAge=200; Cached=0, Rsp=0.220911;(0.012283)(0.200111)(0.008242)(0.000275)
[1-0]R=866; MaxAge=200; Cached=0, Rsp=0.221096;(0.012223)(0.200125)(0.008240)(0.000508)
[1-0]R=867; MaxAge=200; Cached=0, Rsp=0.220919;(0.012278)(0.200129)(0.008240)(0.000272)
[1-0]R=868; MaxAge=200; Cached=0, Rsp=0.220872;(0.012258)(0.200112)(0.008236)(0.000266)
[1-0]R=869; MaxAge=200; Cached=0, Rsp=0.220842;(0.012194)(0.200129)(0.008242)(0.000277)
[1-0]R=870; MaxAge=200; Cached=0, Rsp=0.221124;(0.012270)(0.200130)(0.008220)(0.000504)
[1-0]R=870; MaxAge=145; Cached=1, Rsp=0.000160;(0.000000)(0.000000)(0.000000)(0.000146)
[1-0]R=871; MaxAge=145; Cached=1, Rsp=0.000182;(0.000000)(0.000000)(0.000000)(0.000159)
[1-0]R=872; MaxAge=200; Cached=0, Rsp=0.220980;(0.012355)(0.200113)(0.008240)(0.000272)
[1-0]R=872; MaxAge=145; Cached=1, Rsp=0.000700;(0.000000)(0.000000)(0.000000)(0.000685)
[1-0]R=873; MaxAge=145; Cached=1, Rsp=0.000298;(0.000000)(0.000000)(0.000000)(0.000246)
[1-0]R=874; MaxAge=200; Cached=0, Rsp=0.220901;(0.012258)(0.200131)(0.008243)(0.000269)
