[1-0]R=927979; MaxAge=945; Cached=0, Rsp=0.025800;(0.012220)(0.005105)(0.008210)(0.000265)
[1-0]R=927979; MaxAge=6; Cached=1, Rsp=0.000395;(0.000000)(0.000000)(0.000000)(0.000393)
[1-0]R=927979; MaxAge=5; Cached=1, Rsp=0.000153;(0.000000)(0.000000)(0.000000)(0.000152)
[1-0]R=927979; MaxAge=6; Cached=1, Rsp=0.000414;(0.000000)(0.000000)(0.000000)(0.000412)
[1-0]R=927979; MaxAge=6; Cached=1, Rsp=0.000828;(0.000000)(0.000000)(0.000000)(0.000826)
[1-0]R=927981; MaxAge=929; Cached=0, Rsp=0.025865;(0.012212)(0.005135)(0.008249)(0.000269)
[1-0]R=927981; MaxAge=929; Cached=1, Rsp=0.000167;(0.000000)(0.000000)(0.000000)(0.000165)
[1-0]R=927982; MaxAge=964; Cached=0, Rsp=0.025939;(0.012226)(0.005124)(0.008211)(0.000378)
[1-0]R=927982; MaxAge=964; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000159)
[1-0]R=927984; MaxAge=949; Cached=0, Rsp=0.025825;(0.012237)(0.005100)(0.008205)(0.000283)
[1-0]R=927984; MaxAge=949; Cached=1, Rsp=0.000129;(0.000000)(0.000000)(0.000000)(0.000127)
[1-0]R=927984; MaxAge=949; Cached=1, Rsp=0.000292;(0.000000)(0.000000)(0.000000)(0.000290)
[1-0]R=927984; MaxAge=949; Cached=1, Rsp=0.000541;(0.000000)(0.000000)(0.000000)(0.000539)
[1-0]R=927984; MaxAge=949; Cached=1, Rsp=0.000140;(0.000000)(0.000000)(0.000000)(0.000138)
[1-0]R=927984; MaxAge=949; Cached=1, Rsp=0.000166;(0.000000)(0.000000)(0.000000)(0.000164)
[1-0]R=927984; MaxAge=948; Cached=1, Rsp=0.000199;(0.000000)(0.000000)(0.000000)(0.000197)
[1-0]R=927984; MaxAge=948; Cached=1, Rsp=0.000128;(0.000000)(0.000000)(0.000000)(0.000127)
[1-0]R=927984; MaxAge=948; Cached=1, Rsp=0.000157;(0.000000)(0.000000)(0.000000)(0.000155)
[1-0]R=927986; MaxAge=933; Cached=0, Rsp=0.025837;(0.012242)(0.005122)(0.008207)(0.000266)
[1-0]R=927986; MaxAge=933; Cached=1, Rsp=0.000175;(0.000000)(0.000000)(0.000000)(0.000173)
[1-0]R=927987; MaxAge=968; Cached=0, Rsp=0.025955;(0.012224)(0.005124)(0.008216)(0.000391)
[1-0]R=927987; MaxAge=968; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000159)
[1-0]R=927988; MaxAge=948; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000159)
[1-0]R=927988; MaxAge=948; Cached=1, Rsp=0.000245;(0.000000)(0.000000)(0.000000)(0.000243)
[1-0]R=927988; MaxAge=948; Cached=1, Rsp=0.000274;(0.000000)(0.000000)(0.000000)(0.000272)
[1-0]R=927989; MaxAge=927; Cached=0, Rsp=0.025820;(0.012240)(0.005102)(0.008211)(0.000267)
[1-0]R=927989; MaxAge=927; Cached=1, Rsp=0.000179;(0.000000)(0.000000)(0.000000)(0.000178)
[1-0]R=927990; MaxAge=962; Cached=0, Rsp=0.025809;(0.012223)(0.005121)(0.008203)(0.000262)
[1-0]R=927990; MaxAge=962; Cached=1, Rsp=0.000153;(0.000000)(0.000000)(0.000000)(0.000151)
[1-0]R=927990; MaxAge=962; Cached=1, Rsp=0.000405;(0.000000)(0.000000)(0.000000)(0.000403)
[1-0]R=927990; MaxAge=962; Cached=1, Rsp=0.000699;(0.000000)(0.000000)(0.000000)(0.000697)
[1-0]R=927992; MaxAge=947; Cached=1, Rsp=0.000160;(0.000000)(0.000000)(0.000000)(0.000158)
[1-0]R=927992; MaxAge=947; Cached=1, Rsp=0.000139;(0.000000)(0.000000)(0.000000)(0.000137)
[1-0]R=927992; MaxAge=947; Cached=0, Rsp=0.026155;(0.012246)(0.005105)(0.008194)(0.000610)
[1-0]R=927993; MaxAge=927; Cached=0, Rsp=0.025965;(0.012225)(0.005126)(0.008229)(0.000385)
[1-0]R=927993; MaxAge=927; Cached=1, Rsp=0.000159;(0.000000)(0.000000)(0.000000)(0.000157)
