[1-25]R=55; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-20]R=56; MaxAge=500; Cached=0, Rsp=0.520552;(0.012189)(0.500125)(0.008238)
[1-26]R=57; MaxAge=500; Cached=0, Rsp=0.520511;(0.012133)(0.500128)(0.008250)
[1-21]R=58; MaxAge=500; Cached=0, Rsp=0.520538;(0.012200)(0.500096)(0.008242)
[1-27]R=58; MaxAge=28; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-28]R=59; MaxAge=500; Cached=0, Rsp=0.520493;(0.012167)(0.500111)(0.008215)
[1-22]R=59; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-29]R=60; MaxAge=500; Cached=0, Rsp=0.520529;(0.012162)(0.500127)(0.008240)
[1-23]R=60; MaxAge=14; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-30]R=61; MaxAge=500; Cached=0, Rsp=0.520452;(0.012183)(0.500107)(0.008162)
[1-24]R=62; MaxAge=500; Cached=0, Rsp=0.520458;(0.012170)(0.500126)(0.008162)
[1-31]R=63; MaxAge=500; Cached=0, Rsp=0.520531;(0.012189)(0.500105)(0.008237)
[1-25]R=64; MaxAge=500; Cached=0, Rsp=0.520523;(0.012180)(0.500096)(0.008247)
[1-32]R=65; MaxAge=500; Cached=0, Rsp=0.520522;(0.012157)(0.500124)(0.008241)
[1-26]R=66; MaxAge=500; Cached=0, Rsp=0.520397;(0.012113)(0.500104)(0.008180)
[1-33]R=66; MaxAge=27; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-34]R=67; MaxAge=500; Cached=0, Rsp=0.520523;(0.012156)(0.500128)(0.008239)
[1-27]R=67; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-35]R=68; MaxAge=500; Cached=0, Rsp=0.520375;(0.012135)(0.500110)(0.008130)
[1-28]R=68; MaxAge=15; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-36]R=69; MaxAge=500; Cached=0, Rsp=0.520529;(0.012155)(0.500129)(0.008245)
[1-29]R=70; MaxAge=500; Cached=0, Rsp=0.520567;(0.012196)(0.500128)(0.008243)
[1-30]R=71; MaxAge=500; Cached=0, Rsp=0.520551;(0.012201)(0.500132)(0.008218)
[1-31]R=72; MaxAge=500; Cached=0, Rsp=0.520562;(0.012201)(0.500129)(0.008232)
[1-32]R=73; MaxAge=500; Cached=0, Rsp=0.520370;(0.012126)(0.500085)(0.008159)
[1-33]R=74; MaxAge=500; Cached=0, Rsp=0.520516;(0.012142)(0.500123)(0.008251)
[1-34]R=75; MaxAge=500; Cached=0, Rsp=0.520522;(0.012151)(0.500126)(0.008245)
[1-35]R=76; MaxAge=500; Cached=0, Rsp=0.520416;(0.012168)(0.500078)(0.008170)
[1-36]R=77; MaxAge=500; Cached=0, Rsp=0.520419;(0.012198)(0.500090)(0.008131)
