[0-100000]R=5442; MaxAge=100; Cached=0, Rsp=0.100131, 818.705197, 818.805328
[0-100000]R=5443; MaxAge=100; Cached=0, Rsp=0.100134, 819.248126, 819.348260
[0-100000]R=5444; MaxAge=100; Cached=0, Rsp=0.100104, 819.515151, 819.615255
[0-100000]R=5445; MaxAge=100; Cached=0, Rsp=0.100131, 820.334235, 820.434366
[0-100000]R=5446; MaxAge=100; Cached=0, Rsp=0.100130, 821.153425, 821.253555
[0-100000]R=5447; MaxAge=100; Cached=0, Rsp=0.100131, 821.641504, 821.741635
[0-100000]R=5448; MaxAge=100; Cached=0, Rsp=0.100131, 821.908180, 822.008311
[0-100000]R=5449; MaxAge=100; Cached=0, Rsp=0.100131, 822.727307, 822.827438
[0-100000]R=5450; MaxAge=100; Cached=0, Rsp=0.100111, 823.436178, 823.536289
[0-100000]R=5451; MaxAge=100; Cached=0, Rsp=0.100133, 824.034204, 824.134337
[0-100000]R=5452; MaxAge=100; Cached=0, Rsp=0.100130, 824.301014, 824.401144
[0-100000]R=5453; MaxAge=100; Cached=0, Rsp=0.100130, 824.843974, 824.944104
[0-100000]R=5454; MaxAge=100; Cached=0, Rsp=0.100129, 825.220978, 825.321107
[0-100000]R=5455; MaxAge=100; Cached=0, Rsp=0.100115, 825.653618, 825.753733
[0-100000]R=5456; MaxAge=100; Cached=0, Rsp=0.100135, 826.141380, 826.241515
[0-100000]R=5457; MaxAge=100; Cached=0, Rsp=0.100129, 826.408162, 826.508291
[0-100000]R=5458; MaxAge=100; Cached=0, Rsp=0.100127, 827.006405, 827.106532
[0-100000]R=5459; MaxAge=100; Cached=0, Rsp=0.100132, 827.714924, 827.815056
[0-100000]R=5460; MaxAge=100; Cached=0, Rsp=0.100130, 828.423960, 828.524090
[0-100000]R=5461; MaxAge=100; Cached=0, Rsp=0.100113, 829.022065, 829.122178
[0-100000]R=5462; MaxAge=100; Cached=0, Rsp=0.100108, 829.343781, 829.443889
[0-100000]R=5463; MaxAge=100; Cached=0, Rsp=0.100130, 830.108065, 830.208195
[0-100000]R=5464; MaxAge=100; Cached=0, Rsp=0.100124, 831.037844, 831.137968
[0-100000]R=5465; MaxAge=100; Cached=0, Rsp=0.100133, 831.415340, 831.515473
[0-100000]R=5466; MaxAge=100; Cached=0, Rsp=0.100113, 832.510682, 832.610795
[0-100000]R=5467; MaxAge=100; Cached=0, Rsp=0.100092, 833.329635, 833.429727
[0-100000]R=5468; MaxAge=100; Cached=0, Rsp=0.100128, 833.816886, 833.917014
[0-100000]R=5469; MaxAge=100; Cached=0, Rsp=0.100130, 834.304564, 834.404694
[0-100000]R=5470; MaxAge=100; Cached=0, Rsp=0.100113, 834.902673, 835.002786
[0-100000]R=5471; MaxAge=100; Cached=0, Rsp=0.100129, 835.611150, 835.711279
[0-100000]R=5472; MaxAge=100; Cached=0, Rsp=0.100131, 836.153941, 836.254072
[0-100000]R=5473; MaxAge=100; Cached=0, Rsp=0.100128, 837.304456, 837.404584
[0-100000]R=5474; MaxAge=100; Cached=0, Rsp=0.100129, 837.902399, 838.002528
[0-100000]R=5475; MaxAge=100; Cached=0, Rsp=0.100107, 839.053086, 839.153193
[0-100000]R=5476; MaxAge=100; Cached=0, Rsp=0.100133, 839.706218, 839.806351
[0-100000]R=5477; MaxAge=100; Cached=0, Rsp=0.100110, 840.746246, 840.846356
[0-100000]R=5478; MaxAge=100; Cached=0, Rsp=0.100129, 841.951489, 842.051618
[0-100000]R=5479; MaxAge=100; Cached=0, Rsp=0.100110, 843.544038, 843.644148
[0-100000]R=5480; MaxAge=100; Cached=0, Rsp=0.100131, 844.252207, 844.352338
[0-100000]R=5481; MaxAge=100; Cached=0, Rsp=0.100130, 846.507588, 846.607718
[0-100000]R=5482; MaxAge=100; Cached=0, Rsp=0.100114, 848.928328, 849.028442
