[0-0]R=2574; MaxAge=100; Cached=0, Rsp=0.100612, 452.884478, 452.985090
[0-0]R=2574; MaxAge=100; Cached=1, Rsp=0.000022, 452.985273, 452.985295
[0-0]R=2575; MaxAge=100; Cached=0, Rsp=0.100607, 453.261577, 453.362184
[0-0]R=2576; MaxAge=100; Cached=0, Rsp=0.100624, 453.583318, 453.683942
[0-0]R=2577; MaxAge=100; Cached=0, Rsp=0.100623, 453.794607, 453.895230
[0-0]R=2578; MaxAge=100; Cached=0, Rsp=0.100606, 454.282102, 454.382708
[0-0]R=2579; MaxAge=100; Cached=0, Rsp=0.100620, 454.603772, 454.704392
[0-0]R=2579; MaxAge=45; Cached=1, Rsp=0.000041, 454.759813, 454.759854
[0-0]R=2580; MaxAge=100; Cached=0, Rsp=0.100613, 455.478096, 455.578709
[0-0]R=2580; MaxAge=45; Cached=1, Rsp=0.000024, 455.634112, 455.634136
[0-0]R=2581; MaxAge=100; Cached=0, Rsp=0.100617, 455.689483, 455.790100
[0-0]R=2582; MaxAge=100; Cached=0, Rsp=0.100581, 456.176985, 456.277566
[0-0]R=2583; MaxAge=100; Cached=0, Rsp=0.100616, 456.498710, 456.599326
[0-0]R=2584; MaxAge=100; Cached=0, Rsp=0.100611, 456.986165, 457.086776
[0-0]R=2584; MaxAge=45; Cached=1, Rsp=0.000024, 457.142199, 457.142223
[0-0]R=2585; MaxAge=100; Cached=0, Rsp=0.100609, 457.363264, 457.463873
[0-0]R=2585; MaxAge=100; Cached=1, Rsp=0.000020, 457.464039, 457.464059
[0-0]R=2586; MaxAge=100; Cached=0, Rsp=0.100603, 458.292820, 458.393423
[0-0]R=2587; MaxAge=100; Cached=0, Rsp=0.100589, 458.504065, 458.604654
[0-0]R=2588; MaxAge=100; Cached=0, Rsp=0.100525, 459.102056, 459.202581
[0-0]R=2588; MaxAge=45; Cached=1, Rsp=0.000041, 459.257864, 459.257905
[0-0]R=2589; MaxAge=100; Cached=0, Rsp=0.100582, 459.313343, 459.413925
[0-0]R=2589; MaxAge=100; Cached=1, Rsp=0.000019, 459.414089, 459.414108
[0-0]R=2590; MaxAge=100; Cached=0, Rsp=0.100634, 459.911346, 460.011980
[0-0]R=2590; MaxAge=45; Cached=1, Rsp=0.000044, 460.067379, 460.067423
[0-0]R=2591; MaxAge=100; Cached=0, Rsp=0.100610, 461.006463, 461.107073
[0-0]R=2591; MaxAge=45; Cached=1, Rsp=0.000024, 461.162444, 461.162468
[0-0]R=2592; MaxAge=100; Cached=0, Rsp=0.100579, 461.273011, 461.373590
[0-0]R=2593; MaxAge=100; Cached=0, Rsp=0.100608, 461.760414, 461.861022
[0-0]R=2593; MaxAge=44; Cached=1, Rsp=0.000025, 461.917242, 461.917267
[0-0]R=2594; MaxAge=100; Cached=0, Rsp=0.100615, 461.972619, 462.073234
[0-0]R=2595; MaxAge=100; Cached=0, Rsp=0.100516, 462.681025, 462.781541
[0-0]R=2595; MaxAge=45; Cached=1, Rsp=0.000041, 462.836882, 462.836923
[0-0]R=2596; MaxAge=100; Cached=0, Rsp=0.100612, 463.113356, 463.213968
[0-0]R=2597; MaxAge=100; Cached=0, Rsp=0.100619, 463.711222, 463.811841
[0-0]R=2598; MaxAge=100; Cached=0, Rsp=0.100623, 464.088182, 464.188805
[0-0]R=2598; MaxAge=100; Cached=1, Rsp=0.000022, 464.188983, 464.189005
[0-0]R=2599; MaxAge=100; Cached=0, Rsp=0.100617, 464.575793, 464.676410
[0-0]R=2600; MaxAge=100; Cached=0, Rsp=0.100615, 464.897585, 464.998200
[0-0]R=2600; MaxAge=45; Cached=1, Rsp=0.000025, 465.053621, 465.053646
[0-0]R=2601; MaxAge=100; Cached=0, Rsp=0.100628, 465.495657, 465.596285
[0-0]R=2601; MaxAge=100; Cached=1, Rsp=0.000019, 465.596452, 465.596471
[0-0]R=2602; MaxAge=100; Cached=0, Rsp=0.100614, 466.369899, 466.470513
[0-0]R=2603; MaxAge=100; Cached=0, Rsp=0.100635, 466.581154, 466.681789
[0-0]R=2604; MaxAge=100; Cached=0, Rsp=0.100609, 466.902841, 467.003450
[0-0]R=2604; MaxAge=100; Cached=1, Rsp=0.000021, 467.003617, 467.003638
[0-0]R=2605; MaxAge=100; Cached=0, Rsp=0.100605, 467.777059, 467.877664
[0-0]R=2606; MaxAge=100; Cached=0, Rsp=0.100633, 468.264529, 468.365162
[0-0]R=2607; MaxAge=100; Cached=0, Rsp=0.100620, 468.807203, 468.907823
[0-0]R=2607; MaxAge=45; Cached=1, Rsp=0.000025, 468.963232, 468.963257
[0-0]R=2608; MaxAge=100; Cached=0, Rsp=0.100608, 469.681438, 469.782046
[0-0]R=2609; MaxAge=100; Cached=0, Rsp=0.100634, 470.666084, 470.766718
[0-0]R=2609; MaxAge=100; Cached=1, Rsp=0.000020, 470.766893, 470.766913
[0-0]R=2610; MaxAge=100; Cached=0, Rsp=0.100637, 471.098417, 471.199054
[0-0]R=2611; MaxAge=100; Cached=0, Rsp=0.100607, 471.364895, 471.465502
[0-0]R=2612; MaxAge=100; Cached=0, Rsp=0.100621, 472.515141, 472.615762
[0-0]R=2612; MaxAge=100; Cached=1, Rsp=0.000022, 472.615929, 472.615951
[0-0]R=2613; MaxAge=100; Cached=0, Rsp=0.100619, 473.555175, 473.655794
[0-0]R=2614; MaxAge=100; Cached=0, Rsp=0.100642, 473.766422, 473.867064
[0-0]R=2615; MaxAge=100; Cached=0, Rsp=0.100614, 474.474791, 474.575405
[0-0]R=2616; MaxAge=100; Cached=0, Rsp=0.100556, 476.177396, 476.277952
[0-0]R=2617; MaxAge=100; Cached=0, Rsp=0.100560, 476.388445, 476.489005
[0-0]R=2617; MaxAge=100; Cached=1, Rsp=0.000019, 476.489177, 476.489196
[0-0]R=2618; MaxAge=100; Cached=0, Rsp=0.100585, 478.311986, 478.412571
[0-0]R=2619; MaxAge=100; Cached=0, Rsp=0.100624, 478.578465, 478.679089
[0-0]R=2620; MaxAge=100; Cached=0, Rsp=0.100615, 479.397311, 479.497926
[0-0]R=2621; MaxAge=100; Cached=0, Rsp=0.100623, 480.989528, 481.090151
[0-0]R=2622; MaxAge=100; Cached=0, Rsp=0.100618, 482.250229, 482.350847
[0-0]R=2623; MaxAge=100; Cached=0, Rsp=0.100758, 483.400456, 483.501214
[0-0]R=2624; MaxAge=100; Cached=0, Rsp=0.100618, 485.158359, 485.258977
[0-0]R=2625; MaxAge=100; Cached=0, Rsp=0.100611, 485.811543, 485.912154
[0-0]R=2626; MaxAge=100; Cached=0, Rsp=0.100616, 488.066551, 488.167167
