[0-0]R=966458; MaxAge=310; Rsp=0.028093;(0.012968)(0.006011)(0.009092)(0.000022)
[0-0]R=966460; MaxAge=324; Rsp=0.027161;(0.012635)(0.005340)(0.009163)(0.000023)
[0-0]R=966462; MaxAge=361; Rsp=0.028128;(0.012819)(0.006017)(0.009222)(0.000070)
[0-0]R=966464; MaxAge=344; Rsp=0.028042;(0.012922)(0.005989)(0.009095)(0.000036)
[0-0]R=966466; MaxAge=357; Rsp=0.028188;(0.012989)(0.006017)(0.009161)(0.000021)
[0-0]R=966468; MaxAge=339; Rsp=0.028140;(0.012968)(0.005989)(0.009153)(0.000030)
[0-0]R=966470; MaxAge=319; Rsp=0.028114;(0.012977)(0.005973)(0.009141)(0.000023)
[0-0]R=966472; MaxAge=329; Rsp=0.028066;(0.013010)(0.005980)(0.009050)(0.000026)
[0-0]R=966474; MaxAge=366; Rsp=0.028189;(0.013021)(0.006011)(0.009104)(0.000053)
[0-0]R=966476; MaxAge=349; Rsp=0.028073;(0.013011)(0.005990)(0.009049)(0.000023)
[0-0]R=966478; MaxAge=357; Rsp=0.027159;(0.013038)(0.005197)(0.008887)(0.000037)
[0-0]R=966480; MaxAge=341; Rsp=0.028061;(0.012882)(0.005980)(0.009159)(0.000040)
[0-0]R=966482; MaxAge=324; Rsp=0.028135;(0.012943)(0.005996)(0.009172)(0.000024)
[0-0]R=966484; MaxAge=333; Rsp=0.028149;(0.013007)(0.005994)(0.009126)(0.000022)
[0-0]R=966486; MaxAge=314; Rsp=0.028093;(0.012904)(0.006059)(0.009099)(0.000031)
[0-0]R=966488; MaxAge=351; Rsp=0.026212;(0.012157)(0.005222)(0.008792)(0.000041)
[0-0]R=966490; MaxAge=366; Rsp=0.028124;(0.013062)(0.005937)(0.009095)(0.000030)
[0-0]R=966492; MaxAge=348; Rsp=0.028236;(0.012965)(0.005997)(0.009221)(0.000053)
[0-0]R=966494; MaxAge=330; Rsp=0.028065;(0.012994)(0.005981)(0.009065)(0.000025)
[0-0]R=966496; MaxAge=341; Rsp=0.028204;(0.012960)(0.006001)(0.009205)(0.000038)
[0-0]R=966498; MaxAge=323; Rsp=0.028596;(0.012997)(0.006004)(0.009562)(0.000033)
[0-0]R=966500; MaxAge=359; Rsp=0.028100;(0.012970)(0.006007)(0.009086)(0.000037)
[0-0]R=966502; MaxAge=313; Rsp=0.028191;(0.012998)(0.006015)(0.009156)(0.000022)
[0-0]R=966504; MaxAge=352; Rsp=0.027739;(0.012533)(0.005972)(0.009204)(0.000030)
[0-0]R=966506; MaxAge=332; Rsp=0.027091;(0.012730)(0.005234)(0.009091)(0.000036)
[0-0]R=966508; MaxAge=340; Rsp=0.028123;(0.012967)(0.006015)(0.009104)(0.000037)
[0-0]R=966510; MaxAge=321; Rsp=0.028116;(0.012988)(0.006103)(0.008966)(0.000059)
