[9917-102]R=966762; MaxAge=14; Rsp=0.000139;(0.000000)(0.000000)(0.000000)(762.995203)
[9917-103]R=966765; MaxAge=986; Rsp=0.028066;(0.012840)(0.005994)(0.009114)(0.000118)
[9917-104]R=966767; MaxAge=985; Rsp=0.027668;(0.012877)(0.006075)(0.008598)(0.000118)
[9917-105]R=966768; MaxAge=13; Rsp=0.000149;(0.000000)(0.000000)(0.000000)(768.995466)
[9917-106]R=966771; MaxAge=985; Rsp=0.028175;(0.012867)(0.006006)(0.009078)(0.000224)
[9917-107]R=966773; MaxAge=986; Rsp=0.027046;(0.012852)(0.005088)(0.008986)(0.000120)
[9917-108]R=966774; MaxAge=13; Rsp=0.000137;(0.000000)(0.000000)(0.000000)(774.995733)
[9917-109]R=966777; MaxAge=986; Rsp=0.027136;(0.012858)(0.005043)(0.009002)(0.000233)
[9917-110]R=966779; MaxAge=986; Rsp=0.027063;(0.012781)(0.005061)(0.009032)(0.000189)
[9917-111]R=966780; MaxAge=13; Rsp=0.000139;(0.000000)(0.000000)(0.000000)(780.996021)
[9917-112]R=966783; MaxAge=985; Rsp=0.028105;(0.012828)(0.005999)(0.009070)(0.000208)
[9917-113]R=966785; MaxAge=985; Rsp=0.028099;(0.012902)(0.005976)(0.009116)(0.000105)
[9917-114]R=966786; MaxAge=12; Rsp=0.000128;(0.000000)(0.000000)(0.000000)(786.996270)
[9917-115]R=966789; MaxAge=984; Rsp=0.028199;(0.012874)(0.006001)(0.009079)(0.000245)
[9917-116]R=966791; MaxAge=985; Rsp=0.027092;(0.012873)(0.005768)(0.008329)(0.000122)
[9917-117]R=966792; MaxAge=12; Rsp=0.000129;(0.000000)(0.000000)(0.000000)(792.996560)
[9917-118]R=966795; MaxAge=984; Rsp=0.028030;(0.012843)(0.005984)(0.009079)(0.000124)
[9917-119]R=966797; MaxAge=985; Rsp=0.027120;(0.012901)(0.005033)(0.009070)(0.000116)
[9917-120]R=966798; MaxAge=12; Rsp=0.000139;(0.000000)(0.000000)(0.000000)(798.996785)
[9917-121]R=966801; MaxAge=984; Rsp=0.028071;(0.012863)(0.006017)(0.009066)(0.000125)
[9917-122]R=966803; MaxAge=984; Rsp=0.028090;(0.012866)(0.006006)(0.009087)(0.000131)
[9917-123]R=966804; MaxAge=12; Rsp=0.000129;(0.000000)(0.000000)(0.000000)(804.997130)
[9917-124]R=966807; MaxAge=984; Rsp=0.028160;(0.012852)(0.005979)(0.009088)(0.000241)
[9917-125]R=966809; MaxAge=983; Rsp=0.028212;(0.012892)(0.006087)(0.009009)(0.000224)
[9917-126]R=966810; MaxAge=11; Rsp=0.000119;(0.000000)(0.000000)(0.000000)(810.997359)
[9917-127]R=966813; MaxAge=983; Rsp=0.028204;(0.012863)(0.005969)(0.009124)(0.000248)
[9917-128]R=966815; MaxAge=983; Rsp=0.028091;(0.012890)(0.005983)(0.009099)(0.000119)
[9917-129]R=966816; MaxAge=11; Rsp=0.000147;(0.000000)(0.000000)(0.000000)(816.997678)
[9917-130]R=966819; MaxAge=984; Rsp=0.027243;(0.012844)(0.005038)(0.009124)(0.000237)
[9917-131]R=966821; MaxAge=983; Rsp=0.028099;(0.012873)(0.006010)(0.009087)(0.000129)
[9917-132]R=966822; MaxAge=11; Rsp=0.000129;(0.000000)(0.000000)(0.000000)(822.997937)
[9917-133]R=966825; MaxAge=983; Rsp=0.028079;(0.012874)(0.006023)(0.009063)(0.000119)
[9917-134]R=966827; MaxAge=983; Rsp=0.028085;(0.012880)(0.005997)(0.009085)(0.000123)
[9917-135]R=966828; MaxAge=11; Rsp=0.000097;(0.000000)(0.000000)(0.000000)(828.998123)
[9917-136]R=966831; MaxAge=982; Rsp=0.028078;(0.012894)(0.005992)(0.009075)(0.000117)
[9917-137]R=966833; MaxAge=982; Rsp=0.028039;(0.012867)(0.005971)(0.009088)(0.000113)
[9917-138]R=966834; MaxAge=10; Rsp=0.000126;(0.000000)(0.000000)(0.000000)(834.998478)
[9917-139]R=966837; MaxAge=983; Rsp=0.027072;(0.012883)(0.005594)(0.008469)(0.000126)
[9917-140]R=966839; MaxAge=982; Rsp=0.027097;(0.012881)(0.005610)(0.008477)(0.000129)
[9917-141]R=966840; MaxAge=10; Rsp=0.000116;(0.000000)(0.000000)(0.000000)(840.998730)
[9917-142]R=966843; MaxAge=982; Rsp=0.028068;(0.012870)(0.006014)(0.009068)(0.000116)
[9917-143]R=966845; MaxAge=982; Rsp=0.028057;(0.012869)(0.005977)(0.009090)(0.000121)
[9917-144]R=966846; MaxAge=10; Rsp=0.000135;(0.000000)(0.000000)(0.000000)(846.999054)
[9917-145]R=966849; MaxAge=983; Rsp=0.027103;(0.012861)(0.005089)(0.009026)(0.000127)
[9917-146]R=966851; MaxAge=982; Rsp=0.027090;(0.012866)(0.005089)(0.009010)(0.000125)
[9917-147]R=966852; MaxAge=9; Rsp=0.000142;(0.000000)(0.000000)(0.000000)(852.999322)
[9917-148]R=966855; MaxAge=982; Rsp=0.027094;(0.012491)(0.005389)(0.009083)(0.000131)
[9917-149]R=966857; MaxAge=981; Rsp=0.028060;(0.012894)(0.005987)(0.009063)(0.000116)
[9917-150]R=966858; MaxAge=9; Rsp=0.000127;(0.000000)(0.000000)(0.000000)(858.999593)
[9917-151]R=966861; MaxAge=981; Rsp=0.028129;(0.012893)(0.006025)(0.009076)(0.000135)
[9917-152]R=966863; MaxAge=981; Rsp=0.028054;(0.012859)(0.006024)(0.009049)(0.000122)
[9917-153]R=966864; MaxAge=8; Rsp=0.000147;(0.000000)(0.000000)(0.000000)(864.999873)
[9917-154]R=966867; MaxAge=982; Rsp=0.027210;(0.012846)(0.005045)(0.009068)(0.000251)
[9917-155]R=966869; MaxAge=981; Rsp=0.028096;(0.012791)(0.005984)(0.009094)(0.000227)
[9917-156]R=966870; MaxAge=9; Rsp=0.000142;(0.000000)(0.000000)(0.000000)(871.000166)
[9917-157]R=966873; MaxAge=981; Rsp=0.027178;(0.012871)(0.005965)(0.008104)(0.000238)
[9917-158]R=966875; MaxAge=980; Rsp=0.027332;(0.012840)(0.005987)(0.008225)(0.000280)
[9917-159]R=966876; MaxAge=8; Rsp=0.000137;(0.000000)(0.000000)(0.000000)(877.000429)
[9917-160]R=966879; MaxAge=980; Rsp=0.028199;(0.012857)(0.005957)(0.009138)(0.000247)
[9917-161]R=966881; MaxAge=980; Rsp=0.028060;(0.012863)(0.005964)(0.009119)(0.000114)
[9917-162]R=966882; MaxAge=8; Rsp=0.000139;(0.000000)(0.000000)(0.000000)(883.000713)
[9917-163]R=966885; MaxAge=980; Rsp=0.028060;(0.012841)(0.006010)(0.009089)(0.000120)
[9917-164]R=966887; MaxAge=980; Rsp=0.028051;(0.012832)(0.005970)(0.009116)(0.000133)
[9917-165]R=966888; MaxAge=8; Rsp=0.000136;(0.000000)(0.000000)(0.000000)(889.000984)
[9917-166]R=966891; MaxAge=980; Rsp=0.027426;(0.012858)(0.006017)(0.008291)(0.000260)
[9917-167]R=966893; MaxAge=980; Rsp=0.027079;(0.012863)(0.006000)(0.008103)(0.000113)
[9917-168]R=966894; MaxAge=7; Rsp=0.000131;(0.000000)(0.000000)(0.000000)(895.001227)
[9917-169]R=966897; MaxAge=979; Rsp=0.028051;(0.012836)(0.006010)(0.009073)(0.000132)
[9917-170]R=966899; MaxAge=979; Rsp=0.028050;(0.012856)(0.006015)(0.009064)(0.000115)
